I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
3.273959960937500000e+02,-4.788314819335937500e+01,-2.365943908691406250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.255483398437500000e+02,-4.754899978637695312e+01,-2.435887908935546875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.235019531250000000e+02,-4.718713760375976562e+01,-2.490592384338378906e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.208791198730468750e+02,-4.674487304687500000e+01,-2.501092910766601562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.185323181152343750e+02,-4.502081298828125000e+01,-2.505190467834472656e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.164478454589843750e+02,-4.207860565185546875e+01,-2.503203010559082031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.160069580078125000e+02,-2.461716079711914062e+01,-2.504683303833007812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.161262512207031250e+02,-2.509450912475585938e+00,-2.509446144104003906e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.187977600097656250e+02,3.059060478210449219e+01,-2.600005340576171875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.212308349609375000e+02,6.143242263793945312e+01,-2.667550277709960938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.230564575195312500e+02,8.651963806152343750e+01,-2.676448822021484375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.249590454101562500e+02,1.137603302001953125e+02,-2.683655357360839844e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.269276428222656250e+02,1.428488464355468750e+02,-2.689410018920898438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.275769958496093750e+02,1.785747222900390625e+02,-2.638930130004882812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.278495178222656250e+02,2.152972106933593750e+02,-2.582758903503417969e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.274565124511718750e+02,2.386095886230468750e+02,-2.691501045227050781e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.268521118164062500e+02,2.582127075195312500e+02,-2.823951148986816406e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
