I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
3.273958129882812500e+02,-4.788314819335937500e+01,-2.366202545166015625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.255480651855468750e+02,-4.754899978637695312e+01,-2.436087036132812500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.235016479492187500e+02,-4.718717575073242188e+01,-2.490747451782226562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.208789367675781250e+02,-4.674505996704101562e+01,-2.501247978210449219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.185321960449218750e+02,-4.502099227905273438e+01,-2.505360794067382812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.164477233886718750e+02,-4.207863998413085938e+01,-2.503403091430664062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.160069274902343750e+02,-2.461647605895996094e+01,-2.504867362976074219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.161262817382812500e+02,-2.507914304733276367e+00,-2.509601211547851562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.187977905273437500e+02,3.059154701232910156e+01,-2.600160408020019531e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.212308959960937500e+02,6.143305969238281250e+01,-2.667713737487792969e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.230564880371093750e+02,8.652072143554687500e+01,-2.676642227172851562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.249590148925781250e+02,1.137620239257812500e+02,-2.683878326416015625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.269275817871093750e+02,1.428512878417968750e+02,-2.689662551879882812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.275769042968750000e+02,1.785764923095703125e+02,-2.639165115356445312e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.278494262695312500e+02,2.152979736328125000e+02,-2.582964134216308594e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.274563903808593750e+02,2.386098937988281250e+02,-2.691676712036132812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.268519897460937500e+02,2.582127990722656250e+02,-2.824115371704101562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.257711486816406250e+02,2.694546813964843750e+02,-3.010038948059082031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.253129882812500000e+02,2.783508605957031250e+02,-3.449879074096679688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.253368225097656250e+02,2.854311218261718750e+02,-4.086284637451171875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.263115234375000000e+02,2.890736694335937500e+02,-4.906237030029296875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
